zip_code,households_median_income_dollars,households_percent_allocated_household_income_in_the_past_12_mo,Class
91901,0.29278963324020685,0.454225352112676,2
91902,0.37336384711407006,0.7852112676056338,2
91906,0.02462105450870833,0.08098591549295775,2
91910,0.15648219699221305,0.7922535211267603,4
91911,0.12551863520180706,0.936619718309859,4
91913,0.41286928609641566,0.492957746478873,3
91914,0.5520715686857278,0.25704225352112675,2
91915,0.48686916721155565,0.306338028169014,2
91932,0.09413897640135532,0.5387323943661972,0
91935,0.3731617428520478,0.5457746478873238,2
91941,0.2981216192117934,0.5316901408450703,0
91942,0.13429828211377282,0.34507042253521125,0
91945,0.13837008856922073,0.6971830985915493,0
91950,0.026160613445877667,0.7218309859154928,4
91962,0.5170302561968734,0.640845070422535,2
91977,0.16309813945194085,0.7218309859154928,4
91978,0.2396005468703561,0.7253521126760563,2
92003,0.26893538607858297,0.37676056338028174,2
92004,0.1061106818046722,0.0,2
92007,0.3793615883017298,0.28873239436619724,2
92008,0.25018129941151995,0.052816901408450745,0
92009,0.5598288058015812,0.3204225352112675,3
92010,0.34972953694347025,0.1338028169014085,2
92011,0.42408012839564885,0.06690140845070425,2
92014,0.7034833263983833,0.46126760563380276,2
92019,0.24436188551387988,0.556338028169014,0
92020,0.10623551090768596,0.658450704225352,4
92021,0.09838911014682283,0.6830985915492958,4
92024,0.4844558045532901,0.37676056338028174,3
92025,0.07672828865244014,0.566901408450704,0
92026,0.19363965998930038,0.4225352112676055,0
92027,0.1548534744100339,0.676056338028169,0
92028,0.21884919455507346,0.45070422535211274,0
92029,0.31345182191047977,0.34507042253521125,2
92036,0.1242525114426678,0.052816901408450745,2
92037,0.41442073351958636,0.43309859154929575,3
92040,0.23618855138798078,0.5633802816901408,0
92054,0.1153004814836831,0.24295774647887325,0
92056,0.24424300065386678,0.3521126760563378,0
92057,0.2222017476074422,0.334507042253521,0
92058,0.07879094097366701,0.26056338028169,0
92064,0.4246151102657077,0.25704225352112675,3
92065,0.33696130297806576,0.34507042253521125,0
92067,1.0,0.7922535211267603,2
92069,0.20008321940200918,0.4014084507042255,0
92071,0.2484277477263271,0.41901408450704225,0
92075,0.358099031088391,0.334507042253521,2
92078,0.28298163228912804,0.3274647887323945,0
92081,0.21771384414194855,0.21126760563380276,0
92082,0.2978600725197646,0.640845070422535,2
92083,0.14618676811508058,0.27464788732394374,0
92084,0.20217559293823933,0.5457746478873238,0
92101,0.16120192593473226,0.2464788732394365,1
92102,0.06481602567912981,0.38732394366197176,0
92103,0.20436307436247997,0.13732394366197176,1
92104,0.1752897818462819,0.232394366197183,1
92105,0.02445461570469004,0.806338028169014,4
92106,0.41728585864590145,0.454225352112676,2
92107,0.2391487844023064,0.37676056338028174,0
92108,0.2176425132259407,0.0880281690140845,0
92109,0.2878261903346609,0.35915492957746475,1
92110,0.1998513939249837,0.33098591549295775,0
92111,0.1978897937347679,0.5809859154929575,0
92113,0.0,0.6197183098591548,4
92114,0.17316768709504848,0.9471830985915493,4
92115,0.07239493550496345,0.41901408450704225,4
92116,0.2064970575997147,0.07042253521126762,1
92117,0.28169173155798616,0.37323943661971826,0
92118,0.38657789930452363,0.3838028169014085,2
92119,0.3210307317363134,0.2922535211267605,2
92120,0.3485644653153421,0.25,0
92121,0.44104499791951496,0.16901408450704225,2
92122,0.22279022766450696,0.278169014084507,1
92123,0.27726327052249894,0.397887323943662,0
92124,0.300344766094038,0.21126760563380276,0
92126,0.32941805861023604,0.306338028169014,4
92127,0.6174225762349166,0.25352112676056326,3
92128,0.35988230398858706,0.15845070422535223,3
92129,0.4898828984128872,0.18309859154929575,3
92130,0.6739285501991321,0.130281690140845,3
92131,0.5589312251084826,0.278169014084507,3
92139,0.18794507519467396,1.0,0
92154,0.1598288058015812,0.7359154929577465,4
92173,0.029774713190275248,0.6971830985915493,0
92672,0.2679129762824704,0.4014084507042255,0
