Zip,Hospital Count
90003,3
90004,2
90007,5
90011,2
90012,1
90013,1
90015,3
90016,1
90017,2
90018,1
90022,3
90023,3
90024,1
90025,1
90026,2
90027,2
90028,3
90029,2
90031,2
90033,6
90034,1
90035,1
90036,1
90037,1
90038,1
90039,4
90043,1
90047,1
90048,2
90056,1
90057,1
90059,1
90061,1
90063,1
90201,1
90220,1
90221,2
90230,3
90232,1
90240,1
90241,1
90247,2
90249,1
90250,3
90254,1
90255,3
90262,1
90265,1
90270,1
90277,1
90280,1
90301,4
90304,1
90307,1
90404,2
90405,1
90503,1
90505,2
90509,1
90601,1
90602,1
90605,1
90620,1
90621,1
90623,1
90630,1
90631,2
90638,1
90640,2
90650,3
90660,1
90680,1
90701,2
90704,1
90706,4
90710,2
90712,2
90716,1
90720,1
90723,1
90731,1
90732,1
90744,1
90802,1
90804,2
90805,1
90806,3
90807,1
90808,3
90812,1
90813,2
91001,1
91006,1
91010,1
91016,1
91024,1
91103,2
91105,1
91107,1
91109,1
91201,1
91204,1
91205,1
91206,1
91208,1
91301,1
91302,1
91304,2
91306,1
91307,1
91316,1
91321,3
91328,1
91340,1
91342,3
91344,1
91345,1
91350,1
91352,1
91355,1
91356,1
91360,3
91361,1
91364,1
91367,1
91401,1
91402,2
91405,4
91436,1
91501,1
91505,2
91606,1
91607,1
91702,1
91706,2
91710,1
91719,1
91720,3
91722,1
91723,1
91731,1
91732,2
91733,2
91740,2
91744,1
91754,2
91760,1
91761,1
91763,2
91764,1
91767,2
91768,1
91773,1
91776,2
91786,3
91790,2
91791,1
91801,1
91803,1
91910,1
91911,1
91941,1
91950,1
92020,1
92021,1
92024,1
92025,1
92026,1
92028,1
92037,2
92041,2
92054,2
92055,1
92064,1
92071,1
92081,1
92101,1
92102,2
92103,6
92104,1
92109,1
92110,1
92115,1
92117,1
92118,1
92120,2
92123,4
92134,1
92201,2
92220,1
92225,1
92227,2
92231,2
92243,2
92252,2
92262,1
92270,1
92277,1
92278,1
92283,1
92307,2
92310,2
92311,2
92315,2
92324,1
92330,1
92335,1
92352,1
92354,1
92363,1
92369,1
92370,1
92373,2
92382,1
92389,1
92392,2
92394,1
92399,1
92404,1
92405,1
92409,1
92411,1
92501,2
92503,3
92505,1
92506,1
92518,1
92543,1
92555,2
92562,1
92563,1
92595,1
92618,1
92621,1
92626,1
92627,2
92635,2
92643,1
92647,1
92653,2
92660,1
92663,1
92668,1
92670,1
92673,1
92675,1
92677,1
92683,1
92686,2
92691,1
92701,1
92704,2
92705,2
92706,2
92708,2
92718,1
92801,2
92802,2
92804,3
92805,2
92807,1
92843,1
92868,1
92869,1
92881,1
93003,3
93010,2
93023,1
93030,4
93041,1
93043,1
93060,2
93065,4
93103,1
93105,1
93111,1
93204,1
93210,1
93212,1
93215,3
93221,1
93230,4
93240,1
93246,1
93247,1
93257,1
93268,1
93274,2
93277,1
93280,3
93285,1
93291,1
93301,3
93303,1
93304,1
93305,1
93308,2
93311,1
93401,3
93405,1
93420,1
93422,1
93436,3
93437,1
93446,1
93451,1
93454,3
93455,1
93463,1
93465,1
93501,1
93514,1
93516,1
93517,1
93523,1
93534,3
93545,1
93546,1
93550,1
93555,2
93561,1
93562,1
93610,1
93611,1
93618,1
93620,1
93625,1
93631,2
93635,3
93637,5
93644,1
93654,1
93657,1
93660,1
93662,1
93702,1
93710,1
93715,1
93720,1
93726,1
93728,1
93901,3
93906,1
93921,1
93930,2
93940,1
93941,1
94010,1
94015,1
94019,1
94025,1
94040,2
94044,1
94062,1
94063,1
94102,1
94103,1
94109,1
94110,4
94111,1
94115,4
94117,2
94118,3
94129,1
94133,1
94143,1
94304,1
94305,1
94401,1
94403,1
94501,1
94509,2
94520,1
94531,1
94533,3
94535,1
94536,1
94538,1
94540,1
94541,1
94546,1
94550,1
94553,2
94558,2
94565,1
94566,1
94576,1
94577,2
94578,2
94583,1
94588,1
94589,1
94590,3
94592,1
94596,1
94598,1
94601,3
94602,1
94609,4
94611,1
94623,1
94627,1
94701,1
94704,1
94705,1
94706,1
94804,2
94806,1
94901,2
94902,1
94903,2
94904,1
94934,1
94947,1
94952,2
94965,1
95008,1
95020,2
95023,2
95032,2
95037,1
95051,1
95060,3
95065,2
95076,1
95103,1
95111,1
95112,1
95116,1
95119,1
95124,1
95126,1
95128,3
95203,1
95204,2
95231,1
95240,3
95249,1
95301,1
95320,1
95336,1
95337,2
95338,1
95340,1
95342,1
95348,1
95350,4
95354,1
95355,1
95356,1
95360,1
95361,1
95363,1
95370,3
95376,1
95380,2
95389,1
95402,2
95403,1
95405,2
95422,1
95425,2
95428,1
95437,3
95440,1
95448,1
95451,1
95453,1
95460,1
95468,1
95472,1
95476,1
95482,3
95490,1
95501,3
95521,1
95531,2
95540,1
95546,2
95603,3
95608,2
95616,1
95628,1
95630,1
95642,1
95648,1
95655,1
95661,2
95667,3
95672,1
95688,1
95695,2
95736,1
95815,2
95817,1
95819,2
95820,1
95823,3
95825,1
95901,3
95903,1
95926,1
95932,1
95938,1
95945,2
95947,1
95948,1
95959,2
95965,2
95966,1
95969,2
95971,1
95988,1
95991,3
96001,5
96002,1
96009,2
96020,1
96021,1
96028,1
96039,2
96041,1
96057,1
96067,1
96080,4
96093,3
96097,1
96101,1
96104,1
96113,2
96118,1
96122,1
96130,4
96158,1
96161,1
Zip,17
